商品ｺｰﾄﾞ,商品名,商品名索引,単位
701135D001005,ｷｬﾌﾟﾁｬｰｼｰﾄﾌﾟﾛ 4mm 色つき,ｲﾛﾂｷ 50ﾛｯﾄ,
701135D001007,ｷｬﾌﾟﾁｬｰｼｰﾄﾌﾟﾛ 4mm 透明,,
701135D001021,ﾈｲﾙｸﾞﾐ ｳｫｰﾀｰﾚｼﾞｽﾀﾝｽ 0.6x45x90,ｳｫｰﾀｰﾚｼﾞｽﾀ,枚
701135D001022,ﾈｲﾙｸﾞﾐ 丸小,ﾈｲﾙｸﾞﾐﾏﾙｼｮ,
701135D001023,ﾈｲﾙｸﾞﾐ 丸大,ﾈｲﾙｸﾞﾐﾏﾙﾀﾞ,
701135D001024,ﾈｲﾙｸﾞﾐ 小,ﾈｲﾙｸﾞﾐｼｮｳ,
701135D001025,ﾈｲﾙｸﾞﾐ 専用JIC 0.6x45x90,,枚
701135D001026,ﾈｲﾙｸﾞﾐ 大,ﾈｲﾙｸﾞﾐﾀﾞｲ,
701135D001027,ﾈｲﾙｸﾞﾐ 中,ﾈｲﾙｸﾞﾐﾁｭｳ,
701135D001028,ﾈｲﾙｸﾞﾐ打抜き加工 ﾁｯﾌﾟｻｲｽﾞ2 12x12,ﾈｲﾙｸﾞﾐｳﾁﾇｷ,枚
701135D001029,ﾈｲﾙｸﾞﾐ打抜き加工 ﾁｯﾌﾟｻｲｽﾞ4 11x10,ﾈｲﾙｸﾞﾐｳﾁﾇｷ,枚
701135D001030,ﾈｲﾙｸﾞﾐ打抜き加工 ﾁｯﾌﾟｻｲｽﾞ6.5 10x8,6.5 108,
701135D001031,ﾈｲﾙｸﾞﾐ打抜き加工 ﾁｯﾌﾟｻｲｽﾞ9 9x6,996,
701135D002001,ｴﾊﾞﾌﾚｯｸｽ40LX,ｴﾊﾞﾌﾚｯｸｽ40,kg
701135D005001,ﾈｲﾙｺﾈｸﾀ ｽﾄﾛﾝｶﾞｰ 0.6mm,ﾈｲﾙｺﾈｸﾀ ｽﾄ,枚
701135D01032,ﾈｲﾙｸﾞﾐ打抜き加工ﾁｯﾌﾟｻｲｽﾞJCI補強用8x6,JCI86ﾎｷｮｳﾖ,
701141K001001,岩崎人口米(非ﾌﾀﾙ仕様)白4 運賃込 ～6t,ｲﾜｻｷｼﾞﾝｺｳﾏ,kg
701141K001002,岩崎人口米(非ﾌﾀﾙ仕様)白4 おにぎり用,ｲﾜｻｷｼﾞﾝｺｳﾏ,kg
702021D001001,16mm用ｴｯｼﾞｶﾊﾞｰ(粘着付き)白,ｴｯｼﾞｶﾊﾞｰﾈﾝ,m
703021D001001,絶縁ﾚｰﾙ L=2000 *I*,,本
703021I001001,絶縁ﾚｰﾙ L=2000,ｾﾞﾂｴﾝﾚｰﾙ,本
703021I001002,絶縁ﾚｰﾙ L=4000,ｾﾞﾂｴﾝﾚｰﾙ,本
703032I001001,10mmｺｰﾅｰﾓｰﾙ Dｸﾞﾘｰﾝ1219,10mmｺｰﾅｰ,ｍ
703032I001002,10mmｺｰﾅｰﾓｰﾙ Dｸﾞﾚｰ12-0185,10mmｺｰﾅｰ,ｍ
703032I001003,10mmｺｰﾅｰﾓｰﾙ STｸﾞﾚｰ1707,10mmｺｰﾅｰ,ｍ
703032I001004,10mmｺｰﾅｰﾓｰﾙ ｱｶ1119,10mmｺｰﾅｰ,ｍ
703032I001005,10mmｺｰﾅｰﾓｰﾙ ｱｶ1300,10mmｺｰﾅｰ,ｍ
703032I001006,10mmｺｰﾅｰﾓｰﾙ ｴﾗｽﾄﾏｰ 単価確認,10mmｺｰﾅｰ,ｍ
703032I001007,10mmｺｰﾅｰﾓｰﾙ ｵｳﾄﾞｲﾛ1675,10mmｺｰﾅｰ,ｍ
703032I001008,10mmｺｰﾅｰﾓｰﾙ ｵｳﾄﾞｲﾛ28-1675,10mmｺｰﾅｰ,ｍ
703032I001009,10mmｺｰﾅｰﾓｰﾙ ｵﾚﾝｼﾞ2532,10mmｺｰﾅｰﾓｰ,ｍ
703032I001010,10mmｺｰﾅｰﾓｰﾙ ｶｰｷ1641,10mmｺｰﾅｰ,ｍ
703032I001011,10mmｺｰﾅｰﾓｰﾙ ｶｰｷｰ1641 ﾂﾔ有,10mmｺｰﾅｰﾓｰ,ｍ
703032I001012,10mmｺｰﾅｰﾓｰﾙ ｸﾞﾘｰﾝ1266,10mmｺｰﾅｰ,ｍ
703032I001013,10mmｺｰﾅｰﾓｰﾙ ｸﾛTN,10mmｺｰﾅｰ,ｍ
703032I001014,10mmｺｰﾅｰﾓｰﾙ 紺1259,10mmｺｰﾅｰ,ｍ
703032I001015,10mmｺｰﾅｰﾓｰﾙ ｺﾝ1280,10mmｺｰﾅｰ,ｍ
703032I001016,10mmｺｰﾅｰﾓｰﾙ ｼﾛ1511,10mmｺｰﾅｰ,ｍ
703032I001017,10mmｺｰﾅｰﾓｰﾙ ﾌﾞﾗｳﾝ1905,10mmｺｰﾅｰ,ｍ
703032I001018,10mmｺｰﾅｰﾓｰﾙ ﾌﾞﾗｳﾝ2531,10mmｺｰﾅｰﾓｰ,ｍ
